HORARIO;Horas;Minutos;#minutos;;;DESPACHO;ATENCION;DERIVACION;tiempo entre llamadas;;;;
1:50;1;50;110;;;3,453398999;8,021162034;4,645038567;0;;;;
4:44;4;44;284;;;1,552830395;6,369193743;4,869562575;174;;;;parametros
5:12;5;12;312;;;12,68877488;18,649126;4,99524163;28;;Hora llegada;Gamma;
6:00;6;0;360;;;11,98846843;29,90769708;10,66287888;48;;Despacho;;
7:08;7;8;428;;;1,657838804;4,809806404;7,915307056;68;;Atención;;
7:18;7;18;438;;;1,905249917;26,16117849;9,511250438;10;;Derivación;;
7:19;7;19;439;;;4,720164542;14,24241173;24,71724572;1;;;;
7:22;7;22;442;;;0,935218896;26,21476255;3,744391256;3;;;;
7:33;7;33;453;;;1,447661907;25,60230611;11,16557835;11;;;;
7:36;7;36;456;;;4,860726437;4,522341619;23,36248619;3;;;;
7:45;7;45;465;;;4,496502456;7,63130954;16,37980301;9;;;;
7:51;7;51;471;;;9,959651704;39,2017319;24,10808139;6;;;;
7:54;7;54;474;;;4,353839062;17,56793661;6,220661576;3;;;;
8:27;8;27;507;;;6,924231744;4,39311148;4,124042133;33;;;;
8:32;8;32;512;;;9,353866171;8,959941513;11,51895778;5;;;;
8:36;8;36;516;;;11,64947213;26,61577226;22,6980291;4;;;;
8:46;8;46;526;;;3,933725092;7,408894791;5,49210938;10;;;;
8:51;8;51;531;;;1,641598666;10,49239516;10,49868415;5;;;;
8:53;8;53;533;;;0,944962717;39,28635779;3,30499294;2;;;;
9:07;9;7;547;;;4,499191808;11,46847231;18,44558057;14;;;;
9:07;9;7;547;;;2,401896883;27,79473152;10,56781604;0;;;;
9:13;9;13;553;;;3,537206129;20,35409957;18,19497954;6;;;;
9:16;9;16;556;;;4,465509017;27,31657451;7,467308639;3;;;;
9:26;9;26;566;;;0,892253576;9,761566021;4,298776847;10;;;;
9:26;9;26;566;;;1,650603569;9,898357137;18,01103713;0;;;;
9:34;9;34;574;;;7,229526559;26,76930129;17,80771269;8;;;;
9:58;9;58;598;;;6,664660887;4,651691413;19,49428877;24;;;;
10:02;10;2;602;;;2,9137723;41,35283383;20,47301358;4;;;;
10:03;10;3;603;;;7,032590383;18,35224064;17,4889653;1;;;;
10:15;10;15;615;;;12,12326711;18,54611846;4,368114716;12;;;;
10:25;10;25;625;;;7,892514931;4,764647662;5,423742683;10;;;;
10:30;10;30;630;;;0,71853692;4,895978088;11,11294376;5;;;;
