ID_NODO_ORIGEN;ID_NODO_DESTINO;COORDENADA_X_x;COORDENADA_Y_x;COORDENADA_X_y;COORDENADA_Y_y
0;0;6;43.0;67.0;43.0;78.0
1;0;68;43.0;67.0;43.0;46.0
2;0;471;43.0;67.0;43.0;70.0
3;0;2184;43.0;67.0;43.0;74.0
4;0;3371;43.0;67.0;43.0;73.0
5;3;176;72.0;14.0;72.0;24.0
6;3;234;72.0;14.0;74.0;16.0
7;3;2375;72.0;14.0;72.0;9.0
8;3;725;72.0;14.0;66.0;14.0
9;5;719;102.0;64.0;103.0;64.0
10;5;817;102.0;64.0;104.0;65.0
11;5;2384;102.0;64.0;102.0;63.0
12;5;2635;102.0;64.0;102.0;69.0
13;6;0;43.0;78.0;43.0;67.0
14;6;85;43.0;78.0;43.0;79.0
15;6;2184;43.0;78.0;43.0;74.0
16;6;2344;43.0;78.0;43.0;76.0
17;16;90;67.0;72.0;63.0;72.0
18;16;156;67.0;72.0;49.0;72.0
19;16;340;67.0;72.0;67.0;71.0
20;16;2195;67.0;72.0;68.0;72.0
21;18;34;7.0;30.0;7.0;54.0
22;18;210;7.0;30.0;2.0;30.0
23;18;2637;7.0;30.0;8.0;30.0
24;18;18;7.0;30.0;7.0;30.0
25;18;3841;7.0;30.0;5.0;30.0
26;19;46;40.0;55.0;40.0;52.0
27;19;217;40.0;55.0;35.0;55.0
28;19;631;40.0;55.0;40.0;58.0
29;19;2346;40.0;55.0;40.0;57.0
30;20;199;77.0;37.0;77.0;24.0
31;20;209;77.0;37.0;77.0;39.0
32;20;267;77.0;37.0;77.0;36.0
33;20;2305;77.0;37.0;77.0;44.0
34;20;2531;77.0;37.0;77.0;38.0
35;21;156;34.0;72.0;49.0;72.0
36;21;305;34.0;72.0;34.0;88.0
37;21;2215;34.0;72.0;34.0;79.0
38;21;2590;34.0;72.0;36.0;72.0
39;22;38;47.0;18.0;49.0;16.0
40;22;96;47.0;18.0;44.0;18.0
41;22;2687;47.0;18.0;47.0;24.0
42;22;22;47.0;18.0;47.0;18.0
43;22;2347;47.0;18.0;50.0;18.0
44;22;2660;47.0;18.0;48.0;17.0
45;22;2693;47.0;18.0;47.0;20.0
46;22;3112;47.0;18.0;47.0;15.0
47;22;3248;47.0;18.0;47.0;21.0
48;22;3821;47.0;18.0;48.0;19.0
49;22;4150;47.0;18.0;45.0;18.0
50;22;4208;47.0;18.0;43.0;18.0
51;34;18;7.0;54.0;7.0;30.0
52;34;41;7.0;54.0;7.0;67.0
53;34;2124;7.0;54.0;10.0;54.0
54;34;2487;7.0;54.0;6.0;54.0
55;38;22;49.0;16.0;47.0;18.0
56;38;109;49.0;16.0;59.0;16.0
57;38;3678;49.0;16.0;49.0;17.0
58;38;4421;49.0;16.0;49.0;13.0
59;41;34;7.0;67.0;7.0;54.0
60;41;180;7.0;67.0;7.0;60.0
61;41;2254;7.0;67.0;7.0;64.0
62;41;2257;7.0;67.0;0.0;67.0
63;46;19;40.0;52.0;40.0;55.0
64;46;146;40.0;52.0;48.0;52.0
65;46;644;40.0;52.0;40.0;49.0
66;46;2450;40.0;52.0;39.0;52.0
67;46;2886;40.0;52.0;45.0;52.0
68;48;139;49.0;88.0;49.0;65.0
69;48;305;49.0;88.0;34.0;88.0
70;48;1448;49.0;88.0;50.0;88.0
71;48;2320;49.0;88.0;45.0;88.0
72;58;165;96.0;42.0;83.0;42.0
73;58;844;96.0;42.0;94.0;37.0
74;58;3250;96.0;42.0;96.0;39.0
75;58;58;96.0;42.0;96.0;42.0
76;58;3079;96.0;42.0;97.0;41.0
77;58;3966;96.0;42.0;99.0;42.0
78;58;4022;96.0;42.0;96.0;46.0
79;58;4169;96.0;42.0;95.0;42.0
80;58;4384;96.0;42.0;98.0;42.0
81;63;147;26.0;37.0;26.0;34.0
82;63;162;26.0;37.0;26.0;43.0
83;63;615;26.0;37.0;26.0;39.0
84;63;3893;26.0;37.0;26.0;44.0
85;65;68;41.0;46.0;43.0;46.0
86;65;118;41.0;46.0;39.0;47.0
87;65;2461;41.0;46.0;41.0;48.0
88;65;2754;41.0;46.0;41.0;45.0
89;68;0;43.0;46.0;43.0;67.0
90;68;65;43.0;46.0;41.0;46.0
91;68;68;43.0;46.0;43.0;46.0
92;68;3261;43.0;46.0;42.0;46.0
93;68;4007;43.0;46.0;42.0;47.0
94;68;4028;43.0;46.0;43.0;42.0
95;68;4389;43.0;46.0;43.0;44.0
96;85;6;43.0;79.0;43.0;78.0
97;85;159;43.0;79.0;43.0;93.0
98;85;369;43.0;79.0;46.0;79.0
99;85;2236;43.0;79.0;45.0;79.0
100;90;16;63.0;72.0;67.0;72.0
101;90;207;63.0;72.0;71.0;72.0
102;90;715;63.0;72.0;64.0;72.0
103;90;653;63.0;72.0;60.0;72.0
104;96;22;44.0;18.0;47.0;18.0
105;96;212;44.0;18.0;68.0;18.0
106;96;2315;44.0;18.0;44.0;17.0
107;96;2347;44.0;18.0;50.0;18.0
108;98;150;72.0;68.0;64.0;68.0
109;98;160;72.0;68.0;53.0;68.0
110;98;2177;72.0;68.0;72.0;61.0
111;98;297;72.0;68.0;67.0;68.0
112;107;181;39.0;76.0;54.0;76.0
113;107;230;39.0;76.0;39.0;71.0
114;107;849;39.0;76.0;39.0;79.0
115;107;2829;39.0;76.0;42.0;76.0
116;109;38;59.0;16.0;49.0;16.0
117;109;234;59.0;16.0;74.0;16.0
118;109;2181;59.0;16.0;59.0;14.0
119;109;2475;59.0;16.0;59.0;18.0
120;110;235;35.0;23.0;57.0;23.0
121;110;238;35.0;23.0;48.0;23.0
122;110;412;35.0;23.0;35.0;20.0
123;110;2511;35.0;23.0;35.0;25.0
124;116;144;64.0;54.0;64.0;42.0
125;116;150;64.0;54.0;64.0;68.0
126;116;589;64.0;54.0;64.0;52.0
127;116;2643;64.0;54.0;57.0;54.0
128;116;2457;64.0;54.0;64.0;59.0
129;118;65;39.0;47.0;41.0;46.0
130;118;122;39.0;47.0;39.0;28.0
131;118;2313;39.0;47.0;44.0;47.0
132;118;2450;39.0;47.0;39.0;52.0
133;119;138;48.0;30.0;48.0;51.0
134;119;146;48.0;30.0;48.0;52.0
135;119;353;48.0;30.0;47.0;30.0
136;119;2492;48.0;30.0;48.0;36.0
137;120;138;49.0;51.0;48.0;51.0
138;120;139;49.0;51.0;49.0;65.0
139;120;2775;49.0;51.0;53.0;51.0
140;120;3307;49.0;51.0;54.0;51.0
141;120;3792;49.0;51.0;49.0;58.0
142;122;118;39.0;28.0;39.0;47.0
143;122;130;39.0;28.0;38.0;28.0
144;122;2229;39.0;28.0;36.0;28.0
145;122;2427;39.0;28.0;39.0;26.0
146;122;2539;39.0;28.0;39.0;29.0
147;125;681;103.0;47.0;94.0;47.0
148;125;719;103.0;47.0;103.0;64.0
149;125;2510;103.0;47.0;98.0;47.0
150;125;2578;103.0;47.0;103.0;53.0
151;130;122;38.0;28.0;39.0;28.0
152;130;161;38.0;28.0;38.0;17.0
153;130;213;38.0;28.0;38.0;30.0
154;130;3590;38.0;28.0;38.0;21.0
155;134;160;53.0;86.0;53.0;68.0
156;134;192;53.0;86.0;53.0;71.0
157;134;134;53.0;86.0;53.0;86.0
158;134;3291;53.0;86.0;52.0;85.0
159;134;4222;53.0;86.0;54.0;85.0
160;134;4382;53.0;86.0;52.0;86.0
161;138;119;48.0;51.0;48.0;30.0
162;138;120;48.0;51.0;49.0;51.0
163;138;146;48.0;51.0;48.0;52.0
164;138;2802;48.0;51.0;44.0;51.0
165;138;2990;48.0;51.0;48.0;57.0
166;139;48;49.0;65.0;49.0;88.0
167;139;120;49.0;65.0;49.0;51.0
168;139;2350;49.0;65.0;45.0;65.0
169;139;4116;49.0;65.0;48.0;65.0
170;143;223;56.0;66.0;71.0;66.0
171;143;276;56.0;66.0;41.0;66.0
172;143;748;56.0;66.0;56.0;64.0
173;143;2278;56.0;66.0;56.0;73.0
174;143;2382;56.0;66.0;56.0;71.0
175;144;116;64.0;42.0;64.0;54.0
176;144;165;64.0;42.0;83.0;42.0
177;144;632;64.0;42.0;61.0;42.0
178;144;2288;64.0;42.0;62.0;42.0
179;144;2763;64.0;42.0;64.0;38.0
180;146;46;48.0;52.0;40.0;52.0
181;146;119;48.0;52.0;48.0;30.0
182;146;138;48.0;52.0;48.0;51.0
183;146;2359;48.0;52.0;53.0;52.0
184;146;2990;48.0;52.0;48.0;57.0
185;147;63;26.0;34.0;26.0;37.0
186;147;789;26.0;34.0;28.0;35.0
187;147;3490;26.0;34.0;26.0;32.0
188;147;2654;26.0;34.0;25.0;34.0
189;150;98;64.0;68.0;72.0;68.0
190;150;116;64.0;68.0;64.0;54.0
191;150;297;64.0;68.0;67.0;68.0
192;150;2199;64.0;68.0;59.0;68.0
193;150;4269;64.0;68.0;64.0;75.0
194;156;16;49.0;72.0;67.0;72.0
195;156;21;49.0;72.0;34.0;72.0
196;156;682;49.0;72.0;51.0;72.0
197;156;2810;49.0;72.0;52.0;72.0
198;159;85;43.0;93.0;43.0;79.0
199;159;324;43.0;93.0;43.0;87.0
200;159;159;43.0;93.0;43.0;93.0
201;159;4460;43.0;93.0;40.0;93.0
202;160;98;53.0;68.0;72.0;68.0
203;160;134;53.0;68.0;53.0;86.0
204;160;192;53.0;68.0;53.0;71.0
205;160;2203;53.0;68.0;51.0;68.0
206;161;130;38.0;17.0;38.0;28.0
207;161;213;38.0;17.0;38.0;30.0
208;161;1367;38.0;17.0;41.0;17.0
209;161;2815;38.0;17.0;38.0;12.0
210;162;63;26.0;43.0;26.0;37.0
211;162;1946;26.0;43.0;42.0;43.0
212;162;2261;26.0;43.0;26.0;38.0
213;162;2343;26.0;43.0;22.0;43.0
214;165;58;83.0;42.0;96.0;42.0
215;165;144;83.0;42.0;64.0;42.0
216;165;2603;83.0;42.0;79.0;42.0
217;165;3681;83.0;42.0;76.0;42.0
218;176;3;72.0;24.0;72.0;14.0
219;176;199;72.0;24.0;77.0;24.0
220;176;2820;72.0;24.0;67.0;24.0
221;176;3993;72.0;24.0;72.0;20.0
222;179;241;90.0;70.0;65.0;70.0
223;179;329;90.0;70.0;90.0;48.0
224;179;2472;90.0;70.0;93.0;70.0
225;179;3790;90.0;70.0;90.0;67.0
226;180;41;7.0;60.0;7.0;67.0
227;180;197;7.0;60.0;18.0;60.0
228;180;2269;7.0;60.0;7.0;55.0
229;180;3829;7.0;60.0;7.0;57.0
230;181;107;54.0;76.0;39.0;76.0
231;181;271;54.0;76.0;54.0;56.0
232;181;823;54.0;76.0;54.0;79.0
233;181;2501;54.0;76.0;56.0;76.0
234;181;3550;54.0;76.0;49.0;76.0
235;184;217;37.0;56.0;35.0;55.0
236;184;271;37.0;56.0;54.0;56.0
237;184;2852;37.0;56.0;37.0;54.0
238;184;4126;37.0;56.0;37.0;55.0
239;191;212;68.0;23.0;68.0;18.0
240;191;235;68.0;23.0;57.0;23.0
241;191;2522;68.0;23.0;68.0;22.0
242;191;4193;68.0;23.0;68.0;24.0
243;192;134;53.0;71.0;53.0;86.0
244;192;230;53.0;71.0;39.0;71.0
245;192;160;53.0;71.0;53.0;68.0
246;192;2382;53.0;71.0;56.0;71.0
247;196;229;29.0;50.0;19.0;50.0
248;196;268;29.0;50.0;29.0;47.0
249;196;2380;29.0;50.0;29.0;53.0
250;196;3151;29.0;50.0;29.0;48.0
251;197;180;18.0;60.0;7.0;60.0
252;197;208;18.0;60.0;18.0;64.0
253;197;2675;18.0;60.0;19.0;60.0
254;197;2711;18.0;60.0;21.0;60.0
255;199;20;77.0;24.0;77.0;37.0
256;199;176;77.0;24.0;72.0;24.0
257;199;2166;77.0;24.0;77.0;21.0
258;199;3934;77.0;24.0;71.0;24.0
259;202;242;28.0;45.0;28.0;44.0
260;202;268;28.0;45.0;29.0;47.0
261;202;3960;28.0;45.0;33.0;45.0
262;202;202;28.0;45.0;28.0;45.0
263;202;2988;28.0;45.0;28.0;41.0
264;202;3942;28.0;45.0;25.0;45.0
265;202;4018;28.0;45.0;24.0;45.0
266;202;4024;28.0;45.0;28.0;48.0
267;202;4376;28.0;45.0;29.0;44.0
268;202;4405;28.0;45.0;26.0;45.0
269;202;4434;28.0;45.0;27.0;44.0
270;204;947;68.0;98.0;68.0;79.0
271;204;951;68.0;98.0;50.0;98.0
272;204;3484;68.0;98.0;68.0;100.0
273;204;3950;68.0;98.0;68.0;92.0
274;207;90;71.0;72.0;63.0;72.0
275;207;223;71.0;72.0;71.0;66.0
276;207;2173;71.0;72.0;71.0;71.0
277;207;2195;71.0;72.0;68.0;72.0
278;208;197;18.0;64.0;18.0;60.0
279;208;275;18.0;64.0;19.0;66.0
280;208;2121;18.0;64.0;18.0;67.0
281;208;2667;18.0;64.0;18.0;68.0
282;208;2367;18.0;64.0;14.0;64.0
283;209;20;77.0;39.0;77.0;37.0
284;209;267;77.0;39.0;77.0;36.0
285;209;2755;77.0;39.0;74.0;39.0
286;209;3238;77.0;39.0;77.0;33.0
287;210;18;2.0;30.0;7.0;30.0
288;210;673;2.0;30.0;17.0;30.0
289;210;2205;2.0;30.0;2.0;28.0
290;210;2471;2.0;30.0;-1.0;30.0
291;210;2637;2.0;30.0;8.0;30.0
292;212;96;68.0;18.0;44.0;18.0
293;212;191;68.0;18.0;68.0;23.0
294;212;2992;68.0;18.0;68.0;15.0
295;212;3108;68.0;18.0;68.0;20.0
296;213;161;38.0;30.0;38.0;17.0
297;213;255;38.0;30.0;43.0;30.0
298;213;130;38.0;30.0;38.0;28.0
299;213;2275;38.0;30.0;37.0;30.0
300;213;2410;38.0;30.0;41.0;30.0
301;213;2968;38.0;30.0;36.0;30.0
302;216;222;41.0;35.0;66.0;35.0
303;216;240;41.0;35.0;41.0;60.0
304;216;640;41.0;35.0;44.0;35.0
305;216;2863;41.0;35.0;45.0;35.0
306;217;19;35.0;55.0;40.0;55.0
307;217;184;35.0;55.0;37.0;56.0
308;217;2816;35.0;55.0;35.0;60.0
309;217;3024;35.0;55.0;35.0;53.0
310;218;329;91.0;50.0;90.0;48.0
311;218;354;91.0;50.0;71.0;50.0
312;218;2100;91.0;50.0;87.0;50.0
313;218;2740;91.0;50.0;91.0;47.0
314;222;216;66.0;35.0;41.0;35.0
315;222;257;66.0;35.0;79.0;35.0
316;222;1201;66.0;35.0;67.0;35.0
317;222;2171;66.0;35.0;66.0;38.0
318;223;143;71.0;66.0;56.0;66.0
319;223;207;71.0;66.0;71.0;72.0
320;223;2834;71.0;66.0;71.0;67.0
321;223;3463;71.0;66.0;71.0;73.0
322;229;196;19.0;50.0;29.0;50.0
323;229;270;19.0;50.0;19.0;69.0
324;229;2258;19.0;50.0;19.0;54.0
325;229;2360;19.0;50.0;19.0;46.0
326;229;3244;19.0;50.0;16.0;50.0
327;230;107;39.0;71.0;39.0;76.0
328;230;192;39.0;71.0;53.0;71.0
329;230;896;39.0;71.0;38.0;71.0
330;230;2208;39.0;71.0;42.0;71.0
331;234;3;74.0;16.0;72.0;14.0
332;234;109;74.0;16.0;59.0;16.0
333;234;2143;74.0;16.0;74.0;19.0
334;234;2730;74.0;16.0;77.0;16.0
335;235;110;57.0;23.0;35.0;23.0
336;235;191;57.0;23.0;68.0;23.0
337;235;235;57.0;23.0;57.0;23.0
338;235;2424;57.0;23.0;53.0;23.0
339;235;3650;57.0;23.0;55.0;23.0
340;238;110;48.0;23.0;35.0;23.0
341;238;360;48.0;23.0;48.0;29.0
342;238;2660;48.0;23.0;48.0;17.0
343;238;2786;48.0;23.0;50.0;23.0
344;238;2915;48.0;23.0;46.0;23.0
345;238;710;48.0;23.0;41.0;23.0
346;238;2793;48.0;23.0;48.0;24.0
347;238;3847;48.0;23.0;44.0;23.0
348;240;216;41.0;60.0;41.0;35.0
349;240;276;41.0;60.0;41.0;66.0
350;240;2361;41.0;60.0;42.0;60.0
351;240;2425;41.0;60.0;41.0;61.0
352;240;2816;41.0;60.0;35.0;60.0
353;240;2670;41.0;60.0;41.0;62.0
354;241;179;65.0;70.0;90.0;70.0
355;241;297;65.0;70.0;67.0;68.0
356;241;2526;65.0;70.0;65.0;67.0
357;241;2705;65.0;70.0;66.0;70.0
358;242;202;28.0;44.0;28.0;45.0
359;242;258;28.0;44.0;34.0;44.0
360;242;4024;28.0;44.0;28.0;48.0
361;242;2628;28.0;44.0;28.0;38.0
362;247;264;51.0;41.0;51.0;49.0
363;247;325;51.0;41.0;66.0;41.0
364;247;2462;51.0;41.0;51.0;43.0
365;247;2584;51.0;41.0;44.0;41.0
366;247;2401;51.0;41.0;51.0;48.0
367;249;294;72.0;43.0;73.0;45.0
368;249;332;72.0;43.0;49.0;43.0
369;249;2455;72.0;43.0;72.0;48.0
370;249;2498;72.0;43.0;72.0;38.0
371;249;4084;72.0;43.0;73.0;43.0
372;250;615;8.0;39.0;26.0;39.0
373;250;813;8.0;39.0;30.0;39.0
374;250;2581;8.0;39.0;8.0;46.0
375;250;3611;8.0;39.0;8.0;42.0
376;253;428;94.0;51.0;93.0;49.0
377;253;450;94.0;51.0;69.0;51.0
378;253;963;94.0;51.0;97.0;53.0
379;253;2490;94.0;51.0;91.0;51.0
380;255;213;43.0;30.0;38.0;30.0
381;255;353;43.0;30.0;47.0;30.0
382;255;2870;43.0;30.0;42.0;30.0
383;255;2875;43.0;30.0;43.0;37.0
384;257;222;79.0;35.0;66.0;35.0
385;257;267;79.0;35.0;77.0;36.0
386;257;2451;79.0;35.0;79.0;38.0
387;257;4326;79.0;35.0;77.0;35.0
388;258;242;34.0;44.0;28.0;44.0
389;258;337;34.0;44.0;34.0;43.0
390;258;3071;34.0;44.0;34.0;41.0
391;258;3676;34.0;44.0;34.0;51.0
392;264;247;51.0;49.0;51.0;41.0
393;264;303;51.0;49.0;64.0;49.0
394;264;2227;51.0;49.0;51.0;47.0
395;264;2401;51.0;49.0;51.0;48.0
396;267;209;77.0;36.0;77.0;39.0
397;267;257;77.0;36.0;79.0;35.0
398;267;20;77.0;36.0;77.0;37.0
399;267;2176;77.0;36.0;78.0;36.0
400;267;2900;77.0;36.0;79.0;36.0
401;268;196;29.0;47.0;29.0;50.0
402;268;202;29.0;47.0;28.0;45.0
403;268;4376;29.0;47.0;29.0;44.0
404;268;268;29.0;47.0;29.0;47.0
405;268;3151;29.0;47.0;29.0;48.0
406;268;3738;29.0;47.0;26.0;47.0
407;268;4024;29.0;47.0;28.0;48.0
408;269;331;85.0;61.0;73.0;61.0
409;269;435;85.0;61.0;68.0;61.0
410;269;3615;85.0;61.0;85.0;65.0
411;269;3734;85.0;61.0;83.0;61.0
412;270;229;19.0;69.0;19.0;50.0
413;270;275;19.0;69.0;19.0;66.0
414;270;2276;19.0;69.0;13.0;69.0
415;270;3154;19.0;69.0;19.0;64.0
416;271;181;54.0;56.0;54.0;76.0
417;271;184;54.0;56.0;37.0;56.0
418;271;535;54.0;56.0;55.0;56.0
419;271;2189;54.0;56.0;54.0;60.0
420;275;208;19.0;66.0;18.0;64.0
421;275;270;19.0;66.0;19.0;69.0
422;275;2237;19.0;66.0;19.0;68.0
423;275;2888;19.0;66.0;16.0;66.0
424;276;143;41.0;66.0;56.0;66.0
425;276;240;41.0;66.0;41.0;60.0
426;276;730;41.0;66.0;40.0;66.0
427;276;2425;41.0;66.0;41.0;61.0
428;288;527;81.0;14.0;63.0;14.0
429;288;725;81.0;14.0;66.0;14.0
430;288;860;81.0;14.0;81.0;13.0
431;288;2649;81.0;14.0;83.0;14.0
432;294;249;73.0;45.0;72.0;43.0
433;294;331;73.0;45.0;73.0;61.0
434;294;2419;73.0;45.0;73.0;49.0
435;294;2864;73.0;45.0;73.0;47.0
436;294;3972;73.0;45.0;73.0;38.0
437;297;241;67.0;68.0;65.0;70.0
438;297;340;67.0;68.0;67.0;71.0
439;297;150;67.0;68.0;64.0;68.0
440;297;98;67.0;68.0;72.0;68.0
441;297;2860;67.0;68.0;60.0;68.0
442;300;343;40.0;29.0;40.0;20.0
443;300;360;40.0;29.0;48.0;29.0
444;300;2423;40.0;29.0;47.0;29.0
445;300;2539;40.0;29.0;39.0;29.0
446;303;264;64.0;49.0;51.0;49.0
447;303;374;64.0;49.0;64.0;60.0
448;303;2228;64.0;49.0;71.0;49.0
449;303;3512;64.0;49.0;63.0;49.0
450;305;21;34.0;88.0;34.0;72.0
451;305;48;34.0;88.0;49.0;88.0
452;305;2172;34.0;88.0;29.0;88.0
453;305;2646;34.0;88.0;36.0;88.0
454;306;552;80.0;63.0;86.0;63.0
455;306;556;80.0;63.0;70.0;63.0
456;306;629;80.0;63.0;80.0;61.0
457;306;2175;80.0;63.0;80.0;60.0
458;306;2782;80.0;63.0;80.0;62.0
459;314;369;46.0;58.0;46.0;79.0
460;314;379;46.0;58.0;46.0;33.0
461;314;2627;46.0;58.0;46.0;64.0
462;314;3047;46.0;58.0;46.0;51.0
463;324;159;43.0;87.0;43.0;93.0
464;324;471;43.0;87.0;43.0;70.0
465;324;2114;43.0;87.0;43.0;85.0
466;324;2437;43.0;87.0;46.0;87.0
467;325;247;66.0;41.0;51.0;41.0
468;325;478;66.0;41.0;66.0;45.0
469;325;2219;66.0;41.0;66.0;42.0
470;325;2765;66.0;41.0;66.0;46.0
471;329;179;90.0;48.0;90.0;70.0
472;329;218;90.0;48.0;91.0;50.0
473;329;2616;90.0;48.0;90.0;43.0
474;329;3504;90.0;48.0;93.0;48.0
475;331;269;73.0;61.0;85.0;61.0
476;331;294;73.0;61.0;73.0;45.0
477;331;1822;73.0;61.0;73.0;57.0
478;331;2341;73.0;61.0;69.0;61.0
479;331;3133;73.0;61.0;66.0;61.0
480;332;249;49.0;43.0;72.0;43.0
481;332;337;49.0;43.0;34.0;43.0
482;332;479;49.0;43.0;55.0;43.0
483;332;1946;49.0;43.0;42.0;43.0
484;337;258;34.0;43.0;34.0;44.0
485;337;332;34.0;43.0;49.0;43.0
486;337;426;34.0;43.0;35.0;43.0
487;337;564;34.0;43.0;36.0;43.0
488;337;3098;34.0;43.0;30.0;43.0
489;340;297;67.0;71.0;67.0;68.0
490;340;380;67.0;71.0;67.0;47.0
491;340;16;67.0;71.0;67.0;72.0
492;340;2213;67.0;71.0;63.0;71.0
493;340;2329;67.0;71.0;68.0;71.0
494;340;2173;67.0;71.0;71.0;71.0
495;343;300;40.0;20.0;40.0;29.0
496;343;357;40.0;20.0;56.0;20.0
497;343;2198;40.0;20.0;40.0;17.0
498;343;2625;40.0;20.0;40.0;24.0
499;349;442;27.0;84.0;36.0;84.0
500;349;559;27.0;84.0;27.0;70.0
501;349;2941;27.0;84.0;27.0;79.0
502;349;3344;27.0;84.0;27.0;78.0
503;353;255;47.0;30.0;43.0;30.0
504;353;356;47.0;30.0;47.0;34.0
505;353;119;47.0;30.0;48.0;30.0
506;353;2402;47.0;30.0;47.0;23.0
507;354;218;71.0;50.0;91.0;50.0
508;354;450;71.0;50.0;69.0;51.0
509;354;2342;71.0;50.0;65.0;50.0
510;354;3220;71.0;50.0;75.0;50.0
511;355;601;26.0;22.0;25.0;23.0
512;355;615;26.0;22.0;26.0;39.0
513;355;2234;26.0;22.0;25.0;22.0
